Student,Advisor
"Shuyang Lin","Philip S. Yu"
"Jiawei Zhang","Philip S. Yu"
"Joel L. Wolf","Philip S. Yu"
"Qingbo Hu","Philip S. Yu"
"Lifang He","Philip S. Yu"
"Hong-Han Shuai","Philip S. Yu"
"Bokai Cao","Philip S. Yu"
"Yan Xie","Philip S. Yu"
"Jong Soo Park","Philip S. Yu"
"Bai-En Shie","Philip S. Yu"
"Ann B. Ragin","Philip S. Yu"
"Zheng Sun","Philip S. Yu"
"Weixiang Shao","Philip S. Yu"
"Senzhang Wang","Philip S. Yu"
"Jingyuan Zhang","Philip S. Yu"
"Jialu Liu","Jiawei Han"
"Marina Danilevsky","Jiawei Han"
"Xiaolei Li","Jiawei Han"
"Xiaoxin Yin","Jiawei Han"
"Sangkyum Kim","Jiawei Han"
"Hyungsul Kim","Jiawei Han"
"Cindy Xide Lin","Jiawei Han"
"Lu An Tang","Jiawei Han"
"Nihit Desai","Jiawei Han"
"Fangbo Tao","Jiawei Han"
"Ahmed El-Kishky","Jiawei Han"
"Tarek F. Abdelzaher","Jiawei Han"
"Nebojsa Stefanovic","Jiawei Han"
"Jenny Chiang","Jiawei Han"
"Brandon Norick","Jiawei Han"
"Thomas F. La Porta","Jiawei Han"
"Shi Zhi","Jiawei Han"
"Qing Chen","Jiawei Han"
"Petre Tzvetkov","Jiawei Han"
"Behzad Mortazavi-Asl","Jiawei Han"
"Alice Leung","Jiawei Han"
"Alex Beutel","Christos Faloutsos"
"Hyung-Jeong Yang","Christos Faloutsos"
"Sridhar Machiraju","Christos Faloutsos"
"Nicholas Valler","Christos Faloutsos"
"Mukund Seshadri","Christos Faloutsos"
"Michalis Faloutsos","Christos Faloutsos"
"Jay Yoon Lee","Christos Faloutsos"
"Guido Proietti","Christos Faloutsos"
"Brendan Meeder","Christos Faloutsos"
"Ashwin Sridharan","Christos Faloutsos"
"Fabian L. Wauthier","Michael I. Jordan"
"Ariel Kleiner","Michael I. Jordan"
"Xinghao Pan","Michael I. Jordan"
"Tamara Broderick","Michael I. Jordan"
"Liang Sun","Jieping Ye"
"Lei Yuan","Jieping Ye"
"Peter Wonka","Jieping Ye"
"Qian Sun","Jieping Ye"
"Rita Chattopadhyay","Jieping Ye"
"Teresa Wu","Jieping Ye"
"Shuo Xiang","Jieping Ye"
"Sen Yang","Jieping Ye"
"Pinghua Gong","Jieping Ye"
"Kewei Chen","Jieping Ye"
"Eric Reiman","Jieping Ye"
"Yashu Liu","Jieping Ye"
"Sudhir Kumar","Jieping Ye"
"Adam Fleisher","Jieping Ye"
"Chih-Hua Tai","Ming-Syan Chen"
"Cheng-Ru Lin","Ming-Syan Chen"
"Chi-Yao Tseng","Ming-Syan Chen"
"Chang-Hung Lee","Ming-Syan Chen"
"Yi-Hong Chu","Ming-Syan Chen"
"Su-Chen Lin","Ming-Syan Chen"
"Hung-Leng Chen","Ming-Syan Chen"
"Chih-Ya Shen","Ming-Syan Chen"
"Wei-Guang Teng","Ming-Syan Chen"
"Ken-Hao Liu","Ming-Syan Chen"
"Hao-Ping Hung","Ming-Syan Chen"
"Ching-Huang Yun","Ming-Syan Chen"
"Chih-Ming Hsu","Ming-Syan Chen"
"Ming Hua","Jian Pei"
"Bin Zhou 0002","Jian Pei"
"Juhua Hu","Jian Pei"
"Dominik Janzing","Bernhard Schölkopf"
"Jonas Peters","Bernhard Schölkopf"
"Thomas Navin Lal","Bernhard Schölkopf"
"N. Jeremy Hill","Bernhard Schölkopf"
"Niels Birbaumer","Bernhard Schölkopf"
"Michael Hirsch","Bernhard Schölkopf"
"Mehrdad Mahdavi","Rong Jin"
"Shijun Wang","Rong Jin"
"Radha Chitta","Rong Jin"
"Feng Kang","Rong Jin"
"Nathan Nan Liu","Qiang Yang 0001"
"Evan Wei Xiang","Qiang Yang 0001"
"Ben Tan","Qiang Yang 0001"
"Jeffrey Junfeng Pan","Qiang Yang 0001"
"Xiaobing Xue","W. Bruce Croft"
"Xiaoyong Liu","W. Bruce Croft"
"Trevor Strohman","W. Bruce Croft"
"Jae Hyun Park","W. Bruce Croft"
"Shravan M. Narayanamurthy","Alexander J. Smola"
"Jiashi Feng","Shuicheng Yan"
"Qiang Chen","Shuicheng Yan"
"ZhongYang Huang","Shuicheng Yan"
"Zheng Song","Shuicheng Yan"
"Jian Dong","Shuicheng Yan"
"Ashraf A. Kassim","Shuicheng Yan"
"Junshi Huang","Shuicheng Yan"
"Huazhong Ning","Thomas S. Huang"
"Zhaowen Wang","Thomas S. Huang"
"Zhangyang Wang","Thomas S. Huang"
"Antonio Colmenarez","Thomas S. Huang"
"Dingding Wang","Tao Li"
"Liang Tang","Tao Li"
"Li Zheng","Tao Li"
"Chao Shen","Tao Li"
"Yi Zhang 0005","Tao Li"
"Yexi Jiang","Tao Li"
"Yanfang Ye","Tao Li"
"Jingxuan Li","Tao Li"
"Xin Wang 0013","Tao Li"
"Chunqiu Zeng","Tao Li"
"Chuanren Liu","Hui Xiong"
"Zijun Yao","Hui Xiong"
"Tianming Hu","Hui Xiong"
"Zhongmou Li","Hui Xiong"
"Guannan Liu","Hui Xiong"
"Junming Liu","Hui Xiong"
"Huiji Gao","Huan Liu"
"Reza Zafarani","Huan Liu"
"Fred Morstatter","Huan Liu"
"Xufei Wang","Huan Liu"
"Yung Chang","Huan Liu"
"Suhas Ranganath","Huan Liu"
"Rudy Setiono","Huan Liu"
"Pritam Gundecha","Huan Liu"
"Jiangxin Wang","Huan Liu"
"Qirong Ho","Eric P. Xing"
"Seunghak Lee","Eric P. Xing"
"Junming Yin","Eric P. Xing"
"Jin Kyu Kim","Eric P. Xing"
"André F. T. Martins","Eric P. Xing"
"Stefano Lonardi","Eamonn J. Keogh"
"Jesin Zakaria","Eamonn J. Keogh"
"Chotirat (Ann) Ratanamahatana","Eamonn J. Keogh"
"Bing Hu 0001","Eamonn J. Keogh"
"Yanping Chen 0005","Eamonn J. Keogh"
"Xiaopeng Xi","Eamonn J. Keogh"
"Bilson J. L. Campana","Eamonn J. Keogh"
"Yuan Hao","Eamonn J. Keogh"
"Xiaoyue Wang","Eamonn J. Keogh"
"Liudmila Ulanova","Eamonn J. Keogh"
"Jin Shieh","Eamonn J. Keogh"
"Bill Yuan-chi Chiu","Eamonn J. Keogh"
"Agenor Mafra-Neto","Eamonn J. Keogh"
"Selina Chu","Eamonn J. Keogh"
"Mohammad Shokoohi-Yekta","Eamonn J. Keogh"
"M. Brandon Westover","Eamonn J. Keogh"
"Lexiang Ye","Eamonn J. Keogh"
"Horst D. Simon","Chris H. Q. Ding"
"Miao Zhang","Chris H. Q. Ding"
"Matthias Schubert","Hans-Peter Kriegel"
"Martin Pfeifle","Hans-Peter Kriegel"
"Stefan Brecheisen","Hans-Peter Kriegel"
"Mihael Ankerst","Hans-Peter Kriegel"
"Thomas Brinkhoff","Hans-Peter Kriegel"
"Thomas Bernecker","Hans-Peter Kriegel"
"Ralf Schneider","Hans-Peter Kriegel"
"Bernhard Braunmüller","Hans-Peter Kriegel"
"Konstantina Palla","Zoubin Ghahramani"
"Yonglong Tian","Xiaoou Tang"
"Judy Hoffman","Trevor Darrell"
"Sergey Karayev","Trevor Darrell"
"Leonid Taycher","Trevor Darrell"
"Hyun Oh Song","Trevor Darrell"
"Gaile G. Gordon","Trevor Darrell"
